scenario,algorithm,metric_name,mean,std,min,max,replications
normal,simulated_annealing,services_started_from_arrival,2.3,0.4583,2.0,3.0,10
normal,simulated_annealing,services_started_from_service_end,10.8,0.7483,10.0,12.0,10
normal,simulated_annealing,services_started_from_deterioration,0.0,0.0,0.0,0.0,10
normal,simulated_annealing,services_started_from_doctor_round,0.0,0.0,0.0,0.0,10
normal,simulated_annealing,average_time_to_initial_assessment,0.0,0.0,0.0,0.0,10
normal,simulated_annealing,average_time_to_service_start,98.944,20.4731,61.14,137.92,10
normal,simulated_annealing,patients_deteriorated_while_waiting,15.5,0.5,15.0,16.0,10
normal,simulated_annealing,critical_patients_waited,1.4,1.0198,0.0,3.0,10
normal,simulated_annealing,critical_patients_started_immediately,0.3,0.4583,0.0,1.0,10
normal,simulated_annealing,average_waiting_time,98.944,20.4731,61.14,137.92,10
normal,simulated_annealing,max_waiting_time,245.2,37.5361,207.0,332.0,10
normal,simulated_annealing,critical_late_patients,7.5,3.1064,1.0,12.0,10
normal,simulated_annealing,total_clinical_impact,47809.96,10447.6842,30681.75,61896.4,10
normal,simulated_annealing,average_resource_utilization,0.3252,0.0106,0.3088,0.3449,10
normal,simulated_annealing,total_doctor_round_time,75.68,2.6739,70.4,78.6,10
normal,simulated_annealing,number_of_doctor_rounds,30.5,0.5,30.0,31.0,10
normal,simulated_annealing,average_doctor_round_duration,2.4816,0.0878,2.3467,2.6067,10
normal,simulated_annealing,total_planning_overhead_time,45.75,0.75,45.0,46.5,10
high_demand,fifo,treated_patients,13.0,0.7746,11.0,14.0,10
high_demand,fifo,untreated_patients,15.0,0.7746,14.0,17.0,10
high_demand,fifo,number_of_initial_assessments,28.0,0.0,28.0,28.0,10
high_demand,fifo,services_started_from_arrival,2.0,0.0,2.0,2.0,10
high_demand,fifo,services_started_from_service_end,11.0,0.7746,9.0,12.0,10
high_demand,fifo,services_started_from_deterioration,0.0,0.0,0.0,0.0,10
high_demand,fifo,services_started_from_doctor_round,0.0,0.0,0.0,0.0,10
high_demand,fifo,average_time_to_initial_assessment,0.0,0.0,0.0,0.0,10
high_demand,fifo,average_time_to_service_start,158.526,11.395,137.21,172.85,10
high_demand,fifo,patients_deteriorated_while_waiting,26.0,0.0,26.0,26.0,10
high_demand,fifo,critical_patients_waited,1.8,1.1662,0.0,3.0,10
high_demand,fifo,critical_patients_started_immediately,0.3,0.4583,0.0,1.0,10
high_demand,fifo,average_waiting_time,158.526,11.395,137.21,172.85,10
high_demand,fifo,max_waiting_time,345.2,31.4477,296.0,401.0,10
high_demand,fifo,critical_late_patients,13.0,3.5777,7.0,18.0,10
high_demand,fifo,total_clinical_impact,141994.6,11528.1774,119719.0,157588.05,10
high_demand,fifo,average_resource_utilization,0.3358,0.0118,0.3175,0.3548,10
high_demand,fifo,total_doctor_round_time,59.05,2.4732,54.6,62.3,10
high_demand,fifo,number_of_doctor_rounds,31.0,0.0,31.0,31.0,10
high_demand,fifo,average_doctor_round_duration,1.9049,0.0798,1.7613,2.0097,10
high_demand,fifo,total_planning_overhead_time,3.1,0.0,3.1,3.1,10
high_demand,greedy,treated_patients,12.8,0.6,11.0,13.0,10
high_demand,greedy,untreated_patients,15.2,0.6,15.0,17.0,10
high_demand,greedy,number_of_initial_assessments,28.0,0.0,28.0,28.0,10
high_demand,greedy,services_started_from_arrival,2.0,0.0,2.0,2.0,10
high_demand,greedy,services_started_from_service_end,10.8,0.6,9.0,11.0,10
high_demand,greedy,services_started_from_deterioration,0.0,0.0,0.0,0.0,10
high_demand,greedy,services_started_from_doctor_round,0.0,0.0,0.0,0.0,10
high_demand,greedy,average_time_to_initial_assessment,0.0,0.0,0.0,0.0,10
high_demand,greedy,average_time_to_service_start,161.962,14.4266,129.0,178.54,10
high_demand,greedy,patients_deteriorated_while_waiting,26.0,0.0,26.0,26.0,10
high_demand,greedy,critical_patients_waited,1.8,1.1662,0.0,3.0,10
high_demand,greedy,critical_patients_started_immediately,0.3,0.4583,0.0,1.0,10
high_demand,greedy,average_waiting_time,161.962,14.4266,129.0,178.54,10
